hd4_5:12,92.64,91.62,130.94,85.26,96.93,91.54,61.61,79.53,62.92,31.65,44.92,77.39,513.83,647.19,856.16,796.57,253.97,127.6
u12:00,1070.08,1686.23,2807.71,768.26,1004.01,907.07,909.91,1505.08,1134.78,1469.85,1739.88,879.30,4066.77,4191.25,4162.17,4462.14,1876.06,1281.4
ud4_8:25,62.90,70.18,84.96,75.99,79.60,71.87,56.34,72.99,113.25,48.75,60.89,72.37,358.74,381.47,425.50,430.46,165.61,115.6
hd3_8:08,171.69,279.74,421.81,279.87,420.83,313.20,215.89,269.81,477.02,180.90,524.06,206.23,634.45,692.02,782.23,727.79,283.63,134.1
hd4_9:50,47.60,62.38,73.97,73.21,105.60,138.44,90.57,82.05,137.27,43.19,75.86,74.88,307.83,304.03,355.87,272.92,96.40,67.5
UH211:45,1262.16,1652.12,2403.90,1530.95,2006.45,2753.74,1509.67,1863.48,2995.96,1365.51,2439.63,2141.37,8374.79,7423.94,7850.70,6576.72,2720.17,1667.3
hd3_6:352p,7.65,9.75,10.99,16.68,13.40,14.37,11.58,13.09,28.60,7.27,21.96,15.06,43.86,39.12,49.00,44.38,13.59,7.4
ud4_10:04,209.09,221.26,225.90,344.74,310.50,279.16,242.75,248.67,415.25,129.15,191.66,210.00,1015.13,991.98,1353.01,1011.80,375.09,287.7
ud4_10:03,229.48,245.62,305.86,261.34,274.25,301.85,204.31,218.97,319.16,121.45,218.61,216.69,1114.60,1065.34,1322.92,1056.18,412.17,298.8
u2_9:49,118.99,131.58,181.92,131.59,148.95,172.49,133.75,163.09,261.96,102.21,188.66,169.84,683.02,821.62,976.50,957.44,302.17,141.5
ud4_5:12,100.29,199.81,178.92,161.25,289.23,431.97,105.31,122.32,248.23,144.12,230.59,361.01,463.70,595.02,982.52,490.37,218.13,126.7
hd3_8:13,96.04,97.47,140.94,99.16,115.06,125.58,81.62,96.65,97.23,45.76,72.87,113.78,578.84,658.60,881.95,863.14,249.65,109.1
ud4_5:16,58.65,68.23,97.96,69.50,75.66,80.95,50.02,63.93,89.23,38.49,97.82,58.15,314.88,280.39,307.74,260.72,108.76,60.1
h12:12,1461.90,1777.85,2430.89,1644.01,2152.24,2892.95,1771.37,1912.81,2599.01,978.90,1438.42,2290.29,11088.84,10993.26,11545.24,10207.90,3938.12,2324.2
hd4_8:161,57.80,67.25,94.96,68.58,85.11,99.10,67.40,67.45,86.94,34.21,84.85,85.76,279.63,307.29,444.41,427.13,130.39,85.1
kkkk,0.85,0.97,2.00,0.93,1.58,0.76,2.11,2.01,5.72,2.14,4.99,1.67,3.13,4.08,5.16,5.55,1.24,0.9
ud3_8:131,85.84,97.47,151.93,91.75,130.03,163.41,109.53,118.80,145.28,64.58,133.76,179.46,484.06,606.43,765.90,850.94,252.74,107.3
hd4_1:41,321.28,339.20,488.78,283.58,327.84,320.77,187.46,250.68,180.74,106.49,154.72,248.06,1545.40,2216.26,2815.18,2604.95,878.09,525.5
hd4_1:40,243.93,250.50,374.83,199.25,255.34,262.51,154.81,205.88,120.11,79.97,124.78,219.62,1309.64,1821.75,2349.28,2183.36,737.20,426.5
h2_9:51,125.79,145.23,224.90,228.90,201.75,165.68,137.43,171.65,377.50,79.97,223.60,104.58,795.81,592.58,440.11,508.12,181.06,129.5
u2_9:51,70.55,77.00,115.95,75.06,89.05,86.24,55.29,71.98,78.93,35.07,67.88,80.32,275.71,369.24,526.93,617.95,181.06,82.3
